session_year,party,seats_over_side,caption,table_str,data,legislator,id,seat
1860-01-01T12:00:00Z,Democrat,-7,"<strong>1860</strong> <span style = ""color:#377EB8"">Democrats</span> have  7 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 10 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1860-01-01T12:00:00Z,Republican,0,"<strong>1860</strong> <span style = ""color:#377EB8"">Democrats</span> have  7 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 10 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1862-01-01T12:00:00Z,Democrat,-0,"<strong>1862</strong> <span style = ""color:#E41A1C"">Republicans</span> have  16 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 33 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1862-01-01T12:00:00Z,Republican,16,"<strong>1862</strong> <span style = ""color:#E41A1C"">Republicans</span> have  16 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 33 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1864-01-01T12:00:00Z,Democrat,-0,"<strong>1864</strong> <span style = ""color:#E41A1C"">Republicans</span> have  14 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 33 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 5 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1864-01-01T12:00:00Z,Republican,14,"<strong>1864</strong> <span style = ""color:#E41A1C"">Republicans</span> have  14 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 33 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 5 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1866-01-01T12:00:00Z,Democrat,-0,"<strong>1866</strong> <span style = ""color:#E41A1C"">Republicans</span> have  1 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 19 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> NA </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1866-01-01T12:00:00Z,Republican,1,"<strong>1866</strong> <span style = ""color:#E41A1C"">Republicans</span> have  1 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 19 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> NA </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1868-01-01T12:00:00Z,Democrat,-2,"<strong>1868</strong> <span style = ""color:#377EB8"">Democrats</span> have  2 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 23 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 18 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> NA </td>
   <td style=""text-align:right;""> 2 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1868-01-01T12:00:00Z,Republican,0,"<strong>1868</strong> <span style = ""color:#377EB8"">Democrats</span> have  2 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 23 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 18 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> NA </td>
   <td style=""text-align:right;""> 2 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
1870-01-01T12:00:00Z,Democrat,-5,"<strong>1870</strong> <span style = ""color:#377EB8"">Democrats</span> have  5 seats over a majority.","<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 28 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 19 </td>
  </tr>
</tbody>
</table>",majority,NA,NA,NA
